,Survived,Pclass,Sex,Age,Fare
0,0,3,male,22.0,7.25
1,1,1,female,38.0,71.2833
2,1,3,female,26.0,7.925
3,1,1,female,35.0,53.1
6,0,1,male,54.0,51.8625
7,0,3,male,2.0,21.075
8,1,3,female,27.0,11.1333
9,1,2,female,14.0,30.0708
11,1,1,female,58.0,26.55
12,0,3,male,20.0,8.05
13,0,3,male,39.0,31.275
14,0,3,female,14.0,7.8542
16,0,3,male,2.0,29.125
18,0,3,female,31.0,18.0
20,0,2,male,35.0,26.0
21,1,2,male,34.0,13.0
23,1,1,male,28.0,35.5
24,0,3,female,8.0,21.075
25,1,3,female,38.0,31.3875
27,0,1,male,19.0,263.0
33,0,2,male,66.0,10.5
34,0,1,male,28.0,82.1708
35,0,1,male,42.0,52.0
37,0,3,male,21.0,8.05
39,1,3,female,14.0,11.2417
40,0,3,female,40.0,9.475
41,0,2,female,27.0,21.0
43,1,2,female,3.0,41.5792
49,0,3,female,18.0,17.8
50,0,3,male,7.0,39.6875
51,0,3,male,21.0,7.8
52,1,1,female,49.0,76.7292
54,0,1,male,65.0,61.9792
56,1,2,female,21.0,10.5
57,0,3,male,28.5,7.2292
58,1,2,female,5.0,27.75
60,0,3,male,22.0,7.2292
61,1,1,female,38.0,80.0
62,0,1,male,45.0,83.475
63,0,3,male,4.0,27.9
67,0,3,male,19.0,8.1583
68,1,3,female,17.0,7.925
69,0,3,male,26.0,8.6625
70,0,2,male,32.0,10.5
72,0,2,male,21.0,73.5
73,0,3,male,26.0,14.4542
74,1,3,male,32.0,56.4958
75,0,3,male,25.0,7.65
79,1,3,female,30.0,12.475
80,0,3,male,22.0,9.0
81,1,3,male,29.0,9.5
83,0,1,male,28.0,47.1
85,1,3,female,33.0,15.85
86,0,3,male,16.0,34.375
88,1,1,female,23.0,263.0
89,0,3,male,24.0,8.05
91,0,3,male,20.0,7.8542
92,0,1,male,46.0,61.175
93,0,3,male,26.0,20.575
94,0,3,male,59.0,7.25
97,1,1,male,23.0,63.3583
98,1,2,female,34.0,23.0
99,0,2,male,34.0,26.0
100,0,3,female,28.0,7.8958
103,0,3,male,33.0,8.6542
104,0,3,male,37.0,7.925
105,0,3,male,28.0,7.8958
106,1,3,female,21.0,7.65
110,0,1,male,47.0,52.0
111,0,3,female,14.5,14.4542
112,0,3,male,22.0,8.05
113,0,3,female,20.0,9.825
115,0,3,male,21.0,7.925
116,0,3,male,70.5,7.75
117,0,2,male,29.0,21.0
118,0,1,male,24.0,247.5208
120,0,2,male,21.0,73.5
122,0,2,male,32.5,30.0708
123,1,2,female,32.5,13.0
124,0,1,male,54.0,77.2875
127,1,3,male,24.0,7.1417
129,0,3,male,45.0,6.975
130,0,3,male,33.0,7.8958
131,0,3,male,20.0,7.05
133,1,2,female,29.0,26.0
134,0,2,male,25.0,13.0
135,0,2,male,23.0,15.0458
136,1,1,female,19.0,26.2833
138,0,3,male,16.0,9.2167
139,0,1,male,24.0,79.2
141,1,3,female,22.0,7.75
142,1,3,female,24.0,15.85
144,0,2,male,18.0,11.5
145,0,2,male,19.0,36.75
146,1,3,male,27.0,7.7958
147,0,3,female,9.0,34.375
149,0,2,male,42.0,13.0
150,0,2,male,51.0,12.525
151,1,1,female,22.0,66.6
152,0,3,male,55.5,8.05
155,0,1,male,51.0,61.3792
156,1,3,female,16.0,7.7333
157,0,3,male,30.0,8.05
160,0,3,male,44.0,16.1
162,0,3,male,26.0,7.775
163,0,3,male,17.0,8.6625
164,0,3,male,1.0,39.6875
165,1,3,male,9.0,20.525
169,0,3,male,28.0,56.4958
170,0,1,male,61.0,33.5
171,0,3,male,4.0,29.125
172,1,3,female,1.0,11.1333
174,0,1,male,56.0,30.6958
175,0,3,male,18.0,7.8542
177,0,1,female,50.0,28.7125
178,0,2,male,30.0,13.0
182,0,3,male,9.0,31.3875
183,1,2,male,1.0,39.0
184,1,3,female,4.0,22.025
187,1,1,male,45.0,26.55
189,0,3,male,36.0,7.8958
190,1,2,female,32.0,13.0
191,0,2,male,19.0,13.0
192,1,3,female,19.0,7.8542
194,1,1,female,44.0,27.7208
195,1,1,female,58.0,146.5208
197,0,3,male,42.0,8.4042
199,0,2,female,24.0,13.0
202,0,3,male,34.0,6.4958
203,0,3,male,45.5,7.225
204,1,3,male,18.0,8.05
205,0,3,female,2.0,10.4625
207,1,3,male,26.0,18.7875
208,1,3,female,16.0,7.75
209,1,1,male,40.0,31.0
210,0,3,male,24.0,7.05
212,0,3,male,22.0,7.25
213,0,2,male,30.0,13.0
215,1,1,female,31.0,113.275
216,1,3,female,27.0,7.925
218,1,1,female,32.0,76.2917
219,0,2,male,30.0,10.5
220,1,3,male,16.0,8.05
221,0,2,male,27.0,13.0
224,1,1,male,38.0,90.0
225,0,3,male,22.0,9.35
226,1,2,male,19.0,10.5
227,0,3,male,20.5,7.25
230,1,1,female,35.0,83.475
231,0,3,male,29.0,7.775
232,0,2,male,59.0,13.5
233,1,3,female,5.0,31.3875
236,0,2,male,44.0,26.0
237,1,2,female,8.0,26.25
238,0,2,male,19.0,10.5
239,0,2,male,33.0,12.275
243,0,3,male,22.0,7.125
244,0,3,male,30.0,7.225
245,0,1,male,44.0,90.0
246,0,3,female,25.0,7.775
248,1,1,male,37.0,52.5542
249,0,2,male,54.0,26.0
251,0,3,female,29.0,10.4625
252,0,1,male,62.0,26.55
254,0,3,female,41.0,20.2125
255,1,3,female,29.0,15.2458
257,1,1,female,30.0,86.5
258,1,1,female,35.0,512.3292
261,1,3,male,3.0,31.3875
262,0,1,male,52.0,79.65
263,0,1,male,40.0,0.0
265,0,2,male,36.0,10.5
267,1,3,male,25.0,7.775
268,1,1,female,58.0,153.4625
269,1,1,female,35.0,135.6333
271,1,3,male,25.0,0.0
273,0,1,male,37.0,29.7
275,1,1,female,63.0,77.9583
276,0,3,female,45.0,7.75
278,0,3,male,7.0,29.125
280,0,3,male,65.0,7.75
281,0,3,male,28.0,7.8542
282,0,3,male,16.0,9.5
283,1,3,male,19.0,8.05
286,1,3,male,30.0,9.5
287,0,3,male,22.0,7.8958
288,1,2,male,42.0,13.0
289,1,3,female,22.0,7.75
291,1,1,female,19.0,91.0792
292,0,2,male,36.0,12.875
293,0,3,female,24.0,8.85
294,0,3,male,24.0,7.8958
297,0,1,female,2.0,151.55
299,1,1,female,50.0,247.5208
302,0,3,male,19.0,0.0
305,1,1,male,0.92,151.55
308,0,2,male,30.0,24.0
309,1,1,female,30.0,56.9292
310,1,1,female,24.0,83.1583
311,1,1,female,18.0,262.375
313,0,3,male,28.0,7.8958
314,0,2,male,43.0,26.25
315,1,3,female,26.0,7.8542
316,1,2,female,24.0,26.0
318,1,1,female,31.0,164.8667
319,1,1,female,40.0,134.5
320,0,3,male,22.0,7.25
321,0,3,male,27.0,7.8958
323,1,2,female,22.0,29.0
325,1,1,female,36.0,135.6333
326,0,3,male,61.0,6.2375
327,1,2,female,36.0,13.0
329,1,1,female,16.0,57.9792
331,0,1,male,45.5,28.5
332,0,1,male,38.0,153.4625
333,0,3,male,16.0,18.0
337,1,1,female,41.0,134.5
338,1,3,male,45.0,8.05
339,0,1,male,45.0,35.5
340,1,2,male,2.0,26.0
342,0,2,male,28.0,13.0
343,0,2,male,25.0,13.0
344,0,2,male,36.0,13.0
345,1,2,female,24.0,13.0
348,1,3,male,3.0,15.9
349,0,3,male,42.0,8.6625
350,0,3,male,23.0,9.225
352,0,3,male,15.0,7.2292
355,0,3,male,28.0,9.5
356,1,1,female,22.0,55.0
357,0,2,female,38.0,13.0
360,0,3,male,40.0,27.9
362,0,3,female,45.0,14.4542
363,0,3,male,35.0,7.05
365,0,3,male,30.0,7.25
366,1,1,female,60.0,75.25
370,1,1,male,25.0,55.4417
371,0,3,male,18.0,6.4958
372,0,3,male,19.0,8.05
373,0,1,male,22.0,135.6333
376,1,3,female,22.0,7.25
377,0,1,male,27.0,211.5
378,0,3,male,20.0,4.0125
379,0,3,male,19.0,7.775
381,1,3,female,1.0,15.7417
382,0,3,male,32.0,7.925
383,1,1,female,35.0,52.0
385,0,2,male,18.0,73.5
387,1,2,female,36.0,13.0
389,1,2,female,17.0,12.0
390,1,1,male,36.0,120.0
391,1,3,male,21.0,7.7958
393,1,1,female,23.0,113.275
394,1,3,female,24.0,16.7
395,0,3,male,22.0,7.7958
396,0,3,female,31.0,7.8542
398,0,2,male,23.0,10.5
399,1,2,female,28.0,12.65
400,1,3,male,39.0,7.925
401,0,3,male,26.0,8.05
403,0,3,male,28.0,15.85
404,0,3,female,20.0,8.6625
405,0,2,male,34.0,21.0
406,0,3,male,51.0,7.75
408,0,3,male,21.0,7.775
412,1,1,female,33.0,90.0
414,1,3,male,44.0,7.925
416,1,2,female,34.0,32.5
418,0,2,male,30.0,13.0
419,0,3,female,10.0,24.15
421,0,3,male,21.0,7.7333
422,0,3,male,29.0,7.875
424,0,3,male,18.0,20.2125
426,1,2,female,28.0,26.0
427,1,2,female,19.0,26.0
429,1,3,male,32.0,8.05
432,1,2,female,42.0,26.0
433,0,3,male,17.0,7.125
434,0,1,male,50.0,55.9
435,1,1,female,14.0,120.0
437,1,2,female,24.0,18.75
438,0,1,male,64.0,263.0
439,0,2,male,31.0,10.5
440,1,2,female,45.0,26.25
442,0,3,male,25.0,7.775
443,1,2,female,28.0,13.0
445,1,1,male,4.0,81.8583
446,1,2,female,13.0,19.5
448,1,3,female,5.0,19.2583
449,1,1,male,52.0,30.5
450,0,2,male,36.0,27.75
452,0,1,male,30.0,27.75
455,1,3,male,29.0,7.8958
456,0,1,male,65.0,26.55
458,1,2,female,50.0,10.5
460,1,1,male,48.0,26.55
462,0,1,male,47.0,38.5
463,0,2,male,48.0,13.0
465,0,3,male,38.0,7.05
467,0,1,male,56.0,26.55
471,0,3,male,38.0,8.6625
472,1,2,female,33.0,27.75
473,1,2,female,23.0,13.7917
474,0,3,female,22.0,9.8375
477,0,3,male,29.0,7.0458
478,0,3,male,22.0,7.5208
479,1,3,female,2.0,12.2875
480,0,3,male,9.0,46.9
483,1,3,female,63.0,9.5875
484,1,1,male,25.0,91.0792
486,1,1,female,35.0,90.0
487,0,1,male,58.0,29.7
489,1,3,male,9.0,15.9
491,0,3,male,21.0,7.25
492,0,1,male,55.0,30.5
493,0,1,male,71.0,49.5042
496,1,1,female,54.0,78.2667
498,0,1,female,25.0,151.55
499,0,3,male,24.0,7.7958
500,0,3,male,17.0,8.6625
503,0,3,female,37.0,9.5875
504,1,1,female,16.0,86.5
505,0,1,male,18.0,108.9
506,1,2,female,33.0,26.0
509,1,3,male,26.0,56.4958
510,1,3,male,29.0,7.75
512,1,1,male,36.0,26.2875
513,1,1,female,54.0,59.4
515,0,1,male,47.0,34.0208
516,1,2,female,34.0,10.5
518,1,2,female,36.0,26.0
519,0,3,male,32.0,7.8958
521,0,3,male,22.0,7.8958
523,1,1,female,44.0,57.9792
525,0,3,male,40.5,7.75
526,1,2,female,50.0,10.5
529,0,2,male,23.0,11.5
530,1,2,female,2.0,26.0
532,0,3,male,17.0,7.2292
534,0,3,female,30.0,8.6625
536,0,1,male,45.0,26.55
537,1,1,female,30.0,106.425
539,1,1,female,22.0,49.5
540,1,1,female,36.0,71.0
542,0,3,female,11.0,31.275
543,1,2,male,32.0,26.0
544,0,1,male,50.0,106.425
545,0,1,male,64.0,26.0
548,0,3,male,33.0,20.525
549,1,2,male,8.0,36.75
550,1,1,male,17.0,110.8833
551,0,2,male,27.0,26.0
554,1,3,female,22.0,7.775
555,0,1,male,62.0,26.55
556,1,1,female,48.0,39.6
558,1,1,female,39.0,79.65
561,0,3,male,40.0,7.8958
562,0,2,male,28.0,13.5
565,0,3,male,24.0,24.15
566,0,3,male,19.0,7.8958
569,1,3,male,32.0,7.8542
570,1,2,male,62.0,10.5
571,1,1,female,53.0,51.4792
572,1,1,male,36.0,26.3875
575,0,3,male,19.0,14.5
576,1,2,female,34.0,13.0
577,1,1,female,39.0,55.9
579,1,3,male,32.0,7.925
581,1,1,female,39.0,110.8833
582,0,2,male,54.0,26.0
583,0,1,male,36.0,40.125
585,1,1,female,18.0,79.65
587,1,1,male,60.0,79.2
588,0,3,male,22.0,8.05
590,0,3,male,35.0,7.125
591,1,1,female,52.0,78.2667
594,0,2,male,37.0,26.0
595,0,3,male,36.0,24.15
597,0,3,male,49.0,0.0
599,1,1,male,49.0,56.9292
603,0,3,male,44.0,8.05
604,1,1,male,35.0,26.55
605,0,3,male,36.0,15.55
606,0,3,male,30.0,7.8958
608,1,2,female,22.0,41.5792
609,1,1,female,40.0,153.4625
610,0,3,female,39.0,31.275
614,0,3,male,35.0,8.05
616,0,3,male,34.0,14.4
617,0,3,female,26.0,16.1
618,1,2,female,4.0,39.0
619,0,2,male,26.0,10.5
621,1,1,male,42.0,52.5542
622,1,3,male,20.0,15.7417
623,0,3,male,21.0,7.8542
624,0,3,male,21.0,16.1
626,0,2,male,57.0,12.35
627,1,1,female,21.0,77.9583
628,0,3,male,26.0,7.8958
630,1,1,male,80.0,30.0
632,1,1,male,32.0,30.5
634,0,3,female,9.0,27.9
635,1,2,female,28.0,13.0
636,0,3,male,32.0,7.925
638,0,3,female,41.0,39.6875
640,0,3,male,20.0,7.8542
641,1,1,female,24.0,69.3
642,0,3,female,2.0,27.9
645,1,1,male,48.0,76.7292
646,0,3,male,19.0,7.8958
647,1,1,male,56.0,35.5
649,1,3,female,23.0,7.55
652,0,3,male,21.0,8.4333
654,0,3,female,18.0,6.75
655,0,2,male,24.0,73.5
657,0,3,female,32.0,15.5
659,0,1,male,58.0,113.275
660,1,1,male,50.0,133.65
661,0,3,male,40.0,7.225
662,0,1,male,47.0,25.5875
664,1,3,male,20.0,7.925
665,0,2,male,32.0,73.5
666,0,2,male,25.0,13.0
668,0,3,male,43.0,8.05
671,0,1,male,31.0,52.0
672,0,2,male,70.0,10.5
673,1,2,male,31.0,13.0
675,0,3,male,18.0,7.775
677,1,3,female,18.0,9.8417
678,0,3,female,43.0,46.9
679,1,1,male,36.0,512.3292
681,1,1,male,27.0,76.7292
683,0,3,male,14.0,46.9
684,0,2,male,60.0,39.0
685,0,2,male,25.0,41.5792
686,0,3,male,14.0,39.6875
688,0,3,male,18.0,7.7958
689,1,1,female,15.0,211.3375
690,1,1,male,31.0,57.0
691,1,3,female,4.0,13.4167
694,0,1,male,60.0,26.55
695,0,2,male,52.0,13.5
696,0,3,male,44.0,8.05
698,0,1,male,49.0,110.8833
700,1,1,female,18.0,227.525
701,1,1,male,35.0,26.2875
702,0,3,female,18.0,14.4542
703,0,3,male,25.0,7.7417
705,0,2,male,39.0,26.0
706,1,2,female,45.0,13.5
707,1,1,male,42.0,26.2875
708,1,1,female,22.0,151.55
712,1,1,male,48.0,52.0
713,0,3,male,29.0,9.4833
714,0,2,male,52.0,13.0
715,0,3,male,19.0,7.65
717,1,2,female,27.0,10.5
719,0,3,male,33.0,7.775
720,1,2,female,6.0,33.0
721,0,3,male,17.0,7.0542
723,0,2,male,50.0,13.0
724,1,1,male,27.0,53.1
725,0,3,male,20.0,8.6625
726,1,2,female,30.0,21.0
729,0,3,female,25.0,7.925
730,1,1,female,29.0,211.3375
731,0,3,male,11.0,18.7875
733,0,2,male,23.0,13.0
735,0,3,male,28.5,16.1
736,0,3,female,48.0,34.375
737,1,1,male,35.0,512.3292
741,0,1,male,36.0,78.85
743,0,3,male,24.0,16.1
744,1,3,male,31.0,7.925
745,0,1,male,70.0,71.0
746,0,3,male,16.0,20.25
748,0,1,male,19.0,53.1
749,0,3,male,31.0,7.75
750,1,2,female,4.0,23.0
751,1,3,male,6.0,12.475
753,0,3,male,23.0,7.8958
754,1,2,female,48.0,65.0
755,1,2,male,0.67,14.5
756,0,3,male,28.0,7.7958
758,0,3,male,34.0,8.05
759,1,1,female,33.0,86.5
761,0,3,male,41.0,7.125
762,1,3,male,20.0,7.2292
764,0,3,male,16.0,7.775
765,1,1,female,51.0,77.9583
767,0,3,female,30.5,7.75
769,0,3,male,32.0,8.3625
771,0,3,male,48.0,7.8542
772,0,2,female,57.0,10.5
774,1,2,female,54.0,23.0
775,0,3,male,18.0,7.75
779,1,1,female,43.0,211.3375
780,1,3,female,13.0,7.2292
781,1,1,female,17.0,57.0
782,0,1,male,29.0,30.0
785,0,3,male,25.0,7.25
786,1,3,female,18.0,7.4958
787,0,3,male,8.0,29.125
788,1,3,male,1.0,20.575
791,0,2,male,16.0,26.0
794,0,3,male,25.0,7.8958
795,0,2,male,39.0,13.0
796,1,1,female,49.0,25.9292
798,0,3,male,30.0,7.2292
799,0,3,female,30.0,24.15
800,0,2,male,34.0,13.0
801,1,2,female,31.0,26.25
803,1,3,male,0.42,8.5167
804,1,3,male,27.0,6.975
805,0,3,male,31.0,7.775
806,0,1,male,39.0,0.0
808,0,2,male,39.0,13.0
809,1,1,female,33.0,53.1
810,0,3,male,26.0,7.8875
811,0,3,male,39.0,24.15
813,0,3,female,6.0,31.275
814,0,3,male,30.5,8.05
816,0,3,female,23.0,7.925
817,0,2,male,31.0,37.0042
819,0,3,male,10.0,27.9
820,1,1,female,52.0,93.5
821,1,3,male,27.0,8.6625
822,0,1,male,38.0,0.0
824,0,3,male,2.0,39.6875
827,1,2,male,1.0,37.0042
829,1,1,female,62.0,80.0
830,1,3,female,15.0,14.4542
833,0,3,male,23.0,7.8542
834,0,3,male,18.0,8.3
835,1,1,female,39.0,83.1583
836,0,3,male,21.0,8.6625
840,0,3,male,20.0,7.925
841,0,2,male,16.0,10.5
842,1,1,female,30.0,31.0
843,0,3,male,34.5,6.4375
845,0,3,male,42.0,7.55
847,0,3,male,35.0,7.8958
848,0,2,male,28.0,33.0
850,0,3,male,4.0,31.275
852,0,3,female,9.0,15.2458
853,1,1,female,16.0,39.4
854,0,2,female,44.0,26.0
855,1,3,female,18.0,9.35
857,1,1,male,51.0,26.55
858,1,3,female,24.0,19.2583
860,0,3,male,41.0,14.1083
861,0,2,male,21.0,11.5
864,0,2,male,24.0,13.0
865,1,2,female,42.0,13.0
866,1,2,female,27.0,13.8583
867,0,1,male,31.0,50.4958
870,0,3,male,26.0,7.8958
871,1,1,female,47.0,52.5542
872,0,1,male,33.0,5.0
873,0,3,male,47.0,9.0
875,1,3,female,15.0,7.225
876,0,3,male,20.0,9.8458
877,0,3,male,19.0,7.8958
879,1,1,female,56.0,83.1583
881,0,3,male,33.0,7.8958
882,0,3,female,22.0,10.5167
883,0,2,male,28.0,10.5
884,0,3,male,25.0,7.05
886,0,2,male,27.0,13.0
887,1,1,female,19.0,30.0
889,1,1,male,26.0,30.0
890,0,3,male,32.0,7.75
